Time,Va,Ia,Za,Ra,Xa,Vb,Ib,Zb,Rb,Xb,Vc,Ic,Zc,Rc,Xc
0,-8993.56991695562,419.389600885135,NaN,NaN,NaN,-16392.8134439734,45.1275323205447,NaN,NaN,NaN,25386.3833607399,-464.517133205679,NaN,NaN,NaN
0.001,-928.408925323409,550.407394822234,NaN,NaN,NaN,-26307.1052443741,41.7828627794949,NaN,NaN,NaN,27235.5141701697,-592.190257601729,NaN,NaN,NaN
0.002,7234.99641322869,627.673867501154,NaN,NaN,NaN,-33658.2091280944,34.3343196988348,NaN,NaN,NaN,26423.212718994,-662.008187199989,NaN,NaN,NaN
0.003,14689.8230841884,643.609625829908,NaN,NaN,NaN,-37714.8482560439,23.5003204587083,NaN,NaN,NaN,23025.0251792447,-667.109946288616,NaN,NaN,NaN
0.004,20707.0420599985,596.665979928565,NaN,NaN,NaN,-38080.978707601,10.315217303371,NaN,NaN,NaN,17373.9366592359,-606.981197231936,NaN,NaN,NaN
0.005,24694.5127493619,491.394207715044,NaN,NaN,NaN,-34714.0310243037,-3.86291114324906,NaN,NaN,NaN,10019.5182910198,-487.531296571795,NaN,NaN,NaN
0.006,26265.1289092858,338.088663885701,NaN,NaN,NaN,-27950.4472856842,-17.6383614707373,NaN,NaN,NaN,1685.31839553585,-320.450302414964,NaN,NaN,NaN
0.007,25264.7512005052,151.757497493428,NaN,NaN,NaN,-18451.0493536506,-29.6760649402775,NaN,NaN,NaN,-6813.70182509698,-122.08143255315,NaN,NaN,NaN
0.008,21792.1250484963,-49.3557508773052,NaN,NaN,NaN,-7147.52782356088,-38.8181219201025,NaN,NaN,NaN,-14644.5972022932,88.1738727974078,NaN,NaN,NaN
0.009,16185.8196466571,-245.570503841869,NaN,NaN,NaN,4856.36192492845,-44.1693611463071,NaN,NaN,NaN,-21042.1815494133,289.739864988176,NaN,NaN,NaN
0.01,8994.72858763304,-417.691611805543,NaN,NaN,NaN,16385.443273643,-45.1921023732592,NaN,NaN,NaN,-25380.1718412179,462.883714178802,NaN,NaN,NaN
0.011,923.02249927339,-548.875669512574,NaN,NaN,NaN,26310.7030922563,-41.7846136423494,NaN,NaN,NaN,-27233.7255749555,590.660283154923,NaN,NaN,NaN
0.012,-7238.96131582578,-626.28538847925,NaN,NaN,NaN,33660.1885347064,-34.2810369457058,NaN,NaN,NaN,-26421.2272067947,660.566425424956,NaN,NaN,NaN
0.013,-14692.1988483313,-642.343702729979,NaN,NaN,NaN,37714.2482359985,-23.4235783294782,NaN,NaN,NaN,-23022.0493809351,665.767281059458,NaN,NaN,NaN
0.014,-20707.4659413074,-595.483612533823,NaN,NaN,NaN,38076.8131358129,-10.2719645779024,NaN,NaN,NaN,-17369.3471931683,605.755577111725,NaN,NaN,NaN
0.015,-24695.7739066076,-490.295300216951,NaN,NaN,NaN,34712.1068752264,3.88644812641239,NaN,NaN,NaN,-10016.3329725077,486.408852090539,NaN,NaN,NaN
0.016,-26266.8006838998,-337.080040221908,NaN,NaN,NaN,27949.6501310609,17.6688850503573,NaN,NaN,NaN,-1682.84945547447,319.411155171551,NaN,NaN,NaN
0.017,-25266.5912504886,-150.837542193264,NaN,NaN,NaN,18451.0013592123,29.7241112327121,NaN,NaN,NaN,6815.58987970853,121.113430960552,NaN,NaN,NaN
0.018,-21793.1734939625,50.1989315450522,NaN,NaN,NaN,7146.25436100202,38.8722984416296,NaN,NaN,NaN,14646.9191195547,-89.0712299866818,NaN,NaN,NaN
0.019,-16186.4589456884,246.348686930231,40.7500576179139,20.0966952658353,-35.4498241921657,-4858.13105171529,44.2169109034028,846.176302055927,NaN,NaN,21044.5899838259,-290.565597833634,40.5851635869877,-36.8188785508357,-17.0741232759215
