Time,Va,Ia,Za,Ra,Xa,Vb,Ib,Zb,Rb,Xb,Vc,Ic,Zc,Rc,Xc
0,-8993.569917,419.3896009,NaN,NaN,NaN,-16392.81344,45.12753232,NaN,NaN,NaN,25386.38336,-464.5171332,NaN,NaN,NaN
0.001,-928.4089253,550.4073948,NaN,NaN,NaN,-26307.10524,41.78286278,NaN,NaN,NaN,27235.51417,-592.1902576,NaN,NaN,NaN
0.002,7234.996413,627.6738675,NaN,NaN,NaN,-33658.20913,34.3343197,NaN,NaN,NaN,26423.21272,-662.0081872,NaN,NaN,NaN
0.003,14689.82308,643.6096258,NaN,NaN,NaN,-37714.84826,23.50032046,NaN,NaN,NaN,23025.02518,-667.1099463,NaN,NaN,NaN
0.004,20707.04206,596.6659799,NaN,NaN,NaN,-38080.97871,10.3152173,NaN,NaN,NaN,17373.93666,-606.9811972,NaN,NaN,NaN
0.005,24694.51275,491.3942077,NaN,NaN,NaN,-34714.03102,-3.862911143,NaN,NaN,NaN,10019.51829,-487.5312966,NaN,NaN,NaN
0.006,26265.12891,338.0886639,NaN,NaN,NaN,-27950.44729,-17.63836147,NaN,NaN,NaN,1685.318396,-320.4503024,NaN,NaN,NaN
0.007,25264.7512,151.7574975,NaN,NaN,NaN,-18451.04935,-29.67606494,NaN,NaN,NaN,-6813.701825,-122.0814326,NaN,NaN,NaN
0.008,21792.12505,-49.35575088,NaN,NaN,NaN,-7147.527824,-38.81812192,NaN,NaN,NaN,-14644.5972,88.1738728,NaN,NaN,NaN
0.009,16185.81965,-245.5705038,NaN,NaN,NaN,4856.361925,-44.16936115,NaN,NaN,NaN,-21042.18155,289.739865,NaN,NaN,NaN
0.01,8994.728588,-417.6916118,NaN,NaN,NaN,16385.44327,-45.19210237,NaN,NaN,NaN,-25380.17184,462.8837142,NaN,NaN,NaN
0.011,923.0224993,-548.8756695,NaN,NaN,NaN,26310.70309,-41.78461364,NaN,NaN,NaN,-27233.72557,590.6602832,NaN,NaN,NaN
0.012,-7238.961316,-626.2853885,NaN,NaN,NaN,33660.18853,-34.28103695,NaN,NaN,NaN,-26421.22721,660.5664254,NaN,NaN,NaN
0.013,-14692.19885,-642.3437027,NaN,NaN,NaN,37714.24824,-23.42357833,NaN,NaN,NaN,-23022.04938,665.7672811,NaN,NaN,NaN
0.014,-20707.46594,-595.4836125,NaN,NaN,NaN,38076.81314,-10.27196458,NaN,NaN,NaN,-17369.34719,605.7555771,NaN,NaN,NaN
0.015,-24695.77391,-490.2953002,NaN,NaN,NaN,34712.10688,3.886448126,NaN,NaN,NaN,-10016.33297,486.4088521,NaN,NaN,NaN
0.016,-26266.80068,-337.0800402,NaN,NaN,NaN,27949.65013,17.66888505,NaN,NaN,NaN,-1682.849455,319.4111552,NaN,NaN,NaN
0.017,-25266.59125,-150.8375422,NaN,NaN,NaN,18451.00136,29.72411123,NaN,NaN,NaN,6815.58988,121.113431,NaN,NaN,NaN
0.018,-21793.17349,50.19893155,NaN,NaN,NaN,7146.254361,38.87229844,NaN,NaN,NaN,14646.91912,-89.07122999,NaN,NaN,NaN
0.019,-16186.45895,246.3486869,40.75005762,20.09669527,-35.44982419,-4858.131052,44.2169109,846.1763021,NaN,NaN,21044.58998,-290.5655978,40.58516359,-36.81887855,-17.07412328
0.02,-8995.349055,418.408343,40.75417332,20.10260534,-35.45120452,-16386.96376,45.23582564,845.9695837,NaN,NaN,25382.31281,-463.6441686,40.58823336,-36.82015071,-17.07867645
0.021,-923.7185098,549.5333132,40.75885438,20.10806289,-35.4534909,-26311.82772,41.82944424,845.8967193,NaN,NaN,27235.54622,-591.3627574,40.59263224,-36.82314024,-17.08268524
0.022,7238.312631,626.886258,40.76383594,20.11196727,-35.45700344,-33661.12308,34.33148666,845.9063489,NaN,NaN,26422.81044,-661.2177447,40.59726921,-36.82697674,-17.08543391
0.023,14691.83407,642.8938292,40.76852294,20.11420106,-35.46112489,-37715.51228,23.47535623,845.9318409,NaN,NaN,23023.67821,-666.3691854,40.60153578,-36.83105001,-17.08679207
0.024,20707.22017,595.9873764,40.77251201,20.11475982,-35.46539402,-38078.1252,10.3236551,845.9220431,NaN,NaN,17370.90504,-606.3110315,40.60490092,-36.83469184,-17.08693815
